Mon Feb 01 08:38:18 PM - Connection lost with API...
Mon Feb 01 08:38:28 PM - Connection lost with API...
Mon Feb 01 08:38:33 PM - Connection lost with API...
Mon Feb 01 08:38:38 PM - Connection lost with API...
Mon Feb 01 08:38:43 PM - Connection lost with API...
Mon Feb 01 08:38:50 PM - Connection lost with API...
Mon Feb 01 08:38:53 PM - Connection lost with API...
Mon Feb 01 08:38:58 PM - Connection lost with API...
Tue Feb 02 11:35:04 AM - Calculated RSI for NVAX: 52.854122621564606
Tue Feb 02 11:35:05 AM - Calculated RSI for FB: 64.20233463035026
Tue Feb 02 11:36:01 AM - Calculated RSI for GOOGL: 50.8723599632688
Tue Feb 02 11:36:02 AM - Calculated RSI for NVDA: 54.90605427975004
Tue Feb 02 11:36:03 AM - Calculated RSI for AAPL: 42.930153321975666
Tue Feb 02 11:36:04 AM - Calculated RSI for NVAX: 57.0125427594072
Tue Feb 02 11:36:06 AM - Calculated RSI for FB: 61.912225705329135
Tue Feb 02 11:37:01 AM - Calculated RSI for GOOGL: 50.3865393360615
Tue Feb 02 11:37:02 AM - Calculated RSI for NVDA: 58.38150289017392
Tue Feb 02 11:37:03 AM - Calculated RSI for AAPL: 49.218749999999616
Tue Feb 02 11:37:04 AM - Calculated RSI for NVAX: 56.313416009019285
Tue Feb 02 11:37:05 AM - Calculated RSI for FB: 65.43385490753897
Tue Feb 02 11:38:01 AM - Calculated RSI for GOOGL: 52.13761699974713
Tue Feb 02 11:38:02 AM - Calculated RSI for NVDA: 56.86274509803973
Tue Feb 02 11:38:03 AM - Calculated RSI for AAPL: 43.231441048034334
Tue Feb 02 11:38:04 AM - Calculated RSI for NVAX: 59.147424511545175
Tue Feb 02 11:38:05 AM - Calculated RSI for FB: 65.10292005744392
Tue Feb 02 11:39:02 AM - Calculated RSI for GOOGL: 53.407618554029746
Tue Feb 02 11:39:03 AM - Calculated RSI for NVDA: 59.93930197268663
Tue Feb 02 11:39:05 AM - Calculated RSI for AAPL: 47.085201793722774
Tue Feb 02 11:39:06 AM - Calculated RSI for NVAX: 54.552912223134136
Tue Feb 02 11:39:07 AM - Calculated RSI for FB: 61.20276742948382
Tue Feb 02 12:32:05 PM - Calculated RSI for GOOGL: 67.70350761085275
Tue Feb 02 12:32:06 PM - Calculated RSI for NVDA: 56.369426751591554
Tue Feb 02 12:32:07 PM - Calculated RSI for AAPL: 74.99999999999812
Tue Feb 02 12:33:05 PM - Calculated RSI for GOOGL: 72.24126113776435
Tue Feb 02 12:33:06 PM - Calculated RSI for NVDA: 56.23003194888113
Tue Feb 02 12:33:07 PM - Calculated RSI for AAPL: 63.74999999999925
Tue Feb 02 12:33:08 PM - Calculated RSI for NVAX: 41.494845360824655
Tue Feb 02 12:33:09 PM - Calculated RSI for FB: 57.142857142855945
Tue Feb 02 12:34:07 PM - Calculated RSI for GOOGL: 69.13109756097438
Tue Feb 02 12:34:08 PM - Calculated RSI for NVDA: 52.758620689654435
Tue Feb 02 12:34:09 PM - Calculated RSI for AAPL: 71.830985915492
Tue Feb 02 12:34:10 PM - Calculated RSI for NVAX: 38.85760257441659
Tue Feb 02 12:34:11 PM - Calculated RSI for FB: 50.970873786408205
Tue Feb 02 12:35:05 PM - Calculated RSI for GOOGL: 55.59030492572298
Tue Feb 02 12:35:06 PM - Calculated RSI for NVDA: 54.25531914893608
Tue Feb 02 12:35:08 PM - Calculated RSI for AAPL: 67.99999999999741
Tue Feb 02 12:35:08 PM - Calculated RSI for NVAX: 44.6395563770796
Tue Feb 02 12:35:09 PM - Calculated RSI for FB: 48.46938775510205
Tue Feb 02 12:36:05 PM - Calculated RSI for GOOGL: 51.805453205600514
Tue Feb 02 12:36:07 PM - Calculated RSI for NVDA: 52.94117647058731
Tue Feb 02 12:36:08 PM - Calculated RSI for AAPL: 67.12328767123111
Tue Feb 02 12:36:10 PM - Calculated RSI for NVAX: 43.35727109515252
Tue Feb 02 12:36:11 PM - Calculated RSI for FB: 50.26455026455002
Tue Feb 02 12:37:05 PM - Calculated RSI for GOOGL: 54.32766615146852
Tue Feb 02 12:37:06 PM - Calculated RSI for NVDA: 53.49650349650413
Tue Feb 02 12:37:07 PM - Calculated RSI for AAPL: 61.11111111110913
Tue Feb 02 12:37:08 PM - Calculated RSI for NVAX: 41.03653355989798
Tue Feb 02 12:37:09 PM - Calculated RSI for FB: 48.46938775510205
Tue Feb 02 12:38:03 PM - Calculated RSI for GOOGL: 42.67211997273431
Tue Feb 02 12:38:04 PM - Calculated RSI for NVDA: 58.18815331010467
Tue Feb 02 12:38:06 PM - Calculated RSI for AAPL: 64.70588235294045
Tue Feb 02 12:38:07 PM - Calculated RSI for NVAX: 39.10931174089067
Tue Feb 02 12:38:08 PM - Calculated RSI for FB: 53.57142857142816
Tue Feb 02 12:39:01 PM - Calculated RSI for GOOGL: 43.02168021680267
Tue Feb 02 12:39:02 PM - Calculated RSI for NVDA: 46.721311475408235
Tue Feb 02 12:39:03 PM - Calculated RSI for AAPL: 59.37499999999889
Tue Feb 02 12:39:04 PM - Calculated RSI for NVAX: 37.018425460636664
Tue Feb 02 12:39:05 PM - Calculated RSI for FB: 57.36040609137076
Tue Feb 02 12:40:01 PM - Calculated RSI for GOOGL: 34.229508196721454
Tue Feb 02 12:40:02 PM - Calculated RSI for NVDA: 48.207171314740485
Tue Feb 02 12:40:03 PM - Calculated RSI for AAPL: 59.37499999999889
Tue Feb 02 12:40:04 PM - Calculated RSI for NVAX: 26.27118644067815
